old	new
s__UBA1777 sp002315275	s__Limivicinus sp002315275
s__UBA1777 sp002320035	s__Limivicinus sp002320035
s__UBA1777 sp002350825	s__Limivicinus sp002350825
s__UBA1777 sp002371675	s__Limivicinus sp002371675
s__UBA1777 sp002431965	s__Limivicinus sp002431965
s__UBA1777 sp002450075	s__Limivicinus sp002450075
s__UBA1777 sp002493305	s__Limivicinus sp002493305
s__UBA1777 sp003150355	s__Limivicinus sp003150355
s__UBA1777 sp004560305	s__Limivicinus sp004560305
s__UBA1777 sp900316205	s__Limivicinus sp900316205
s__UBA1777 sp900316255	s__Limivicinus sp900316255
s__UBA1777 sp900317375	s__Limivicinus sp900317375
s__UBA1777 sp900319275	s__Limivicinus sp900319275
s__UBA1777 sp900319465	s__Limivicinus sp900319465
s__UBA1777 sp900319635	s__Limivicinus sp900319635
s__UBA1777 sp900319695	s__Limivicinus sp900319695
s__UBA1777 sp900319835	s__Limivicinus sp900319835
s__UBA1777 sp900319935	s__Limivicinus sp900319935
s__UBA1777 sp900320465	s__Limivicinus sp900320465
s__UBA1777 sp900320595	s__Limivicinus sp900320595
s__UBA1777 sp900321275	s__Limivicinus sp900321275
s__UBA1777 sp900546515	s__Limivicinus sp900546515
s__UBA1777 sp900547315	s__Limivicinus sp900547315
s__UBA1777 sp900549485	s__Limivicinus sp900549485
s__UBA1777 sp900549545	s__Limivicinus sp900549545
s__UBA1777 sp900549645	s__Limivicinus sp900549645
s__UBA1777 sp900549865	s__Limivicinus sp900549865
s__UBA1777 sp900754515	s__Limivicinus sp900754515
g__UBA5446	g__Scatomorpha
s__UBA5446 sp002427465	s__Scatomorpha sp002427465
s__UBA5446 sp004553625	s__Scatomorpha merdavium
s__UBA5446 sp012513005	s__Scatomorpha sp012513005
s__UBA5446 sp900543085	s__Scatomorpha pullicola
s__UBA5446 sp900544295	s__Scatomorpha intestinigallinarum
s__UBA5446 sp900544765	s__Scatomorpha gallistercoris
s__UBA5446 sp900545405	s__Scatomorpha sp900545405
s__UBA5446 sp900546485	s__Scatomorpha sp900546485
s__UBA5446 sp900546615	s__Scatomorpha pullistercoris
s__UBA5446 sp900752445	s__Scatomorpha sp900752445
s__UBA5446 sp900759385	s__Scatomorpha sp900759385
g__UBA9475	g__Enterenecus
s__UBA9475 sp002161235	s__Enterenecus sp002161235
s__UBA9475 sp002161675	s__Enterenecus faecium
s__UBA9475 sp003534045	s__Enterenecus sp003534045
s__UBA9475 sp004560375	s__Enterenecus sp004560375
s__UBA9475 sp900549885	s__Enterenecus sp900549885
s__UBA9475 sp900554075	s__MGBC124762 sp900554075
g__UMGS1872	g__Pelethomonas
s__UMGS1872 sp009774055	s__Pelethomonas sp009774055
s__UMGS1872 sp014237695	s__Pelethomonas sp014237695
s__UMGS1872 sp900549475	s__Pelethomonas sp900549475
s__UMGS1872 sp900555795	s__Pelethomonas sp900555795
s__UMGS1872 sp902373635	s__Pelethomonas sp902373635
s__Anaerofilum sp002160015	s__Anaerofilum faecale
g__D5	g__Fimivivens
s__D5 sp014385025	s__Fimivivens sp014385025
s__D5 sp900113995	s__Fimivivens sp900113995
s__Faecalibacterium prausnitzii_C	s__Faecalibacterium duncaniae
s__Faecalibacterium prausnitzii_G	s__Faecalibacterium longum
s__Faecalibacterium prausnitzii_H	s__Faecalibacterium hattorii
s__Faecalibacterium sp002160915	s__Faecalibacterium avium
s__Fournierella sp004558145	s__Fournierella excrementavium
s__Gemmiger sp004555405	s__SFIE01 sp004555405
s__Gemmiger sp900548355	s__Gemmiger avicola
s__Gemmiger_A sp002160955	s__Gemmiger_A avium
s__Hydrogenoanaerobacterium sp014384885	s__Ligaoa zhengdingensis
g__Massilimaliae	g__Massiliimalia
s__Massilimaliae massiliensis	s__Massiliimalia massiliensis
s__Massilimaliae sp900752435	s__Massiliimalia sp900752435
s__Massilimaliae timonensis	s__Massiliimalia timonensis
g__NSJ-54	g__Pararuminococcus
s__NSJ-54 sp014385095	s__Pararuminococcus sp014385095
s__Negativibacillus sp900547455	s__Negativibacillus faecipullorum
g__QANG01	g__Fumia
s__QANG01 sp003150145	s__Fumia xinanensis
s__Ruthenibacterium sp002315015	s__Ruthenibacterium avium
s__Ruthenibacterium sp003149955	s__Ruthenibacterium sp018380115
s__Ruthenibacterium sp900546885	s__Ruthenibacterium merdipullorum
s__Ruthenibacterium sp900759375	s__Ruthenibacterium sp018380115
g__UBA1375	g__Egerieicola
s__UBA1375 sp002305795	s__Egerieicola faecale
g__UBA1409	g__Faeciplasma
s__UBA1409 sp002305045	s__Faeciplasma avium
s__UBA1409 sp002338885	s__Faeciplasma gallinarum
s__UBA1409 sp002491605	s__Faeciplasma sp002491605
s__UBA1409 sp900553675	s__Faeciplasma sp900553675
s__UBA1409 sp900760125	s__Faeciplasma sp900760125
g__UBA1448	g__Faecivivens
s__UBA1448 sp002329405	s__Faecivivens sp002329405
g__UMGS1826	g__Merdivicinus
s__UMGS1826 sp900555435	s__Merdivicinus sp900555435
g__UMGS599	g__Pseudoruminococcus_B
s__UMGS599 sp900543705	s__Pseudoruminococcus_B sp900543705
g__UMGS966	g__Avimicrobium
s__UMGS966 sp900547185	s__Avimicrobium caecorum
s__UMGS966 sp900761965	s__Avimicrobium sp900761965
g__Fusibacter_B	g__QQWI01
s__Fusibacter_B sp004125825	s__QQWI01 sp004125825
g__UBA5201	g__Fusibacter_C
s__UBA5201 sp001897605	s__Fusibacter_C sp001897605
s__UBA5201 sp002412775	s__Fusibacter_C sp002412775
s__UBA5201 sp002441045	s__Fusibacter_C sp002441045
s__UBA5201 sp003482695	s__Fusibacter_C sp003482695
s__Aminipila sp004103735	s__Aminipila luticellarii
s__Aminipila sp010120715	s__Aminipila terrae
g__BX12	g__Zhenpiania
s__BX12 sp009911365	s__Zhenpiania sp009911365
s__BX12 sp014333425	s__Zhenpiania hominis
s__BX12 sp902363595	s__Zhenpiania massiliensis
g__CAG-145	g__Fimisoma
s__CAG-145 sp000435715	s__Fimisoma sp000435715
s__CAG-145 sp002320005	s__Fimisoma sp002320005
s__CAG-145 sp003150015	s__Fimisoma sp900542295
s__CAG-145 sp900540145	s__Fimisoma sp900540145
s__CAG-145 sp900542295	s__Fimisoma sp900542295
s__CAG-145 sp900542565	s__Fimisoma avicola
s__CAG-145 sp900545135	s__Fimisoma sp900545135
s__CAG-145 sp900754795	s__Fimisoma sp900754795
g__Eubacterium_A	g__Hornefia
s__Eubacterium_A minutum	s__Hornefia minuta
s__Eubacterium_A nodatum	s__Hornefia nodata
s__Eubacterium_A sp000688015	s__Hornefia sp000688015
s__Eubacterium_A sp001940235	s__Hornefia porci
s__Eubacterium_A sp900315125	s__Hornefia sp900315125
s__Eubacterium_A sp900321685	s__Hornefia butyriciproducens
g__Eubacterium_M	g__Gallibacter
s__Eubacterium_M brachy	s__Gallibacter brachus
s__Eubacterium_M sp900540015	s__Gallibacter intestinalis
g__Mobilibacterium	g__Baileyella
s__Mobilibacterium sp900315625	s__Baileyella intestinalis
s__Mobilibacterium timonense	s__Baileyella timonense
g__RUG11214	g__Eubacterium_B
s__RUG11214 sp902766915	s__Eubacterium_B sp902766915
s__RUG11214 sp902776725	s__Eubacterium_B sp902776725
s__RUG11214 sp902797405	s__Eubacterium_B sp902797405
g__UBA1191	g__Lentihominibacter
s__UBA1191 sp002310095	s__Lentihominibacter sp002310095
s__UBA1191 sp012513435	s__Lentihominibacter sp012513435
s__UBA1191 sp900066305	s__Lentihominibacter sp900066305
s__UBA1191 sp900542385	s__Lentihominibacter excrementavium
s__UBA1191 sp900543485	s__Lentihominibacter excrementipullorum
s__UBA1191 sp900545775	s__Lentihominibacter hominis
s__UBA1191 sp900549125	s__Lentihominibacter faecis
s__UBA1191 sp902763505	s__Lentihominibacter sp902763505
s__UBA1191 sp902766185	s__Lentihominibacter sp902766185
s__UBA1191 sp902772685	s__Lentihominibacter sp902772685
s__UBA1191 sp902783525	s__Lentihominibacter sp902797195
s__UBA1191 sp902786815	s__Lentihominibacter sp902786815
s__UBA1191 sp902787725	s__Lentihominibacter sp902787725
s__UBA1191 sp902795135	s__Lentihominibacter sp902795135
s__UBA1191 sp902796875	s__Lentihominibacter sp902796875
s__UBA1191 sp902797095	s__Lentihominibacter sp902797095
s__UBA1191 sp902797195	s__Lentihominibacter sp902797195
s__UBA1426 sp012719215	s__UBA1426 sp002329675
g__UBA7709	g__MT110
s__UBA7709 sp002482405	s__MT110 sp002482405
s__Alkaliphilus_C sp009017275	s__Alkaliphilus_C pronyensis
g__LacT	g__Alkaliphilus_D
s__LacT sp009017255	s__Alkaliphilus_D serpentinus
s__Clostridioides_A mangenotii_B	s__Clostridioides_A mangenotii
s__GCA-900066495 hominis_A	s__GCA-900066495 sp014323405
s__Intestinibacter sp900553485	s__Intestinibacter bartlettii
s__Paraclostridium bifermentans_A	s__Paraclostridium bifermentans
s__Peptostreptococcus anaerobius_A	s__Peptostreptococcus porci
s__Romboutsia dakarensis	s__CCUG-7971 spG000499525
s__Romboutsia hominis	s__Romboutsia_C hominis
s__Romboutsia lituseburensis	s__Romboutsia_D lituseburensis
s__Romboutsia sp000686145	s__Romboutsia_D sp000686145
s__Terrisporobacter glycolicus_A	s__Terrisporobacter petrolearius
s__Inediibacterium sp004138215	s__Inediibacterium nitritogenes
g__SY095	g__Crassaminicella_A
s__SY095 sp008152325	s__Crassaminicella_A thermophila
s__CAG-269 sp900557115	s__CAG-269 sp905213875
s__CAG-269 sp900760175	s__CAG-269 sp905213875
g__CAG-354	g__Merdicola
s__CAG-354 sp001915925	s__Merdicola sp001915925
s__CAG-354 sp900552655	s__Merdicola sp900552655
s__CAG-354 sp900553015	s__Merdicola sp900553015
s__CAG-354 sp900555085	s__Merdicola sp900555085
s__CAG-354 sp900754085	s__Merdicola sp900754085
s__CAG-354 sp900759015	s__Merdicola sp900759015
g__UBA7001	g__Scatovivens
s__UBA7001 sp002449785	s__Scatovivens sp002449785
s__UBA7001 sp900553685	s__Scatovivens faecipullorum
s__UBA7001 sp900768805	s__Scatovivens sp900768805
f__Caloranaerobacteraceae	f__Thermohalobacteraceae
s__Anaerococcus prevotii_A	s__Anaerococcus vaginimassiliensis
s__Anaerococcus sp009696575	s__Anaerococcus porci
g__JAAZME01	g__Gallicola
s__JAAZME01 sp012798975	s__Gallicola sp012798975
g__Lagierella	g__Mediannikoviicoccus
s__Lagierella massiliensis	s__Mediannikoviicoccus massiliensis
g__Miniphocibacter	g__Miniphocaeibacter
s__Miniphocibacter massiliensis	s__Miniphocaeibacter massiliensis
s__Miniphocibacter sp012841535	s__Miniphocaeibacter sp012841535
s__Parvimonas sp001553085	s__Parvimonas parva
s__Peptoniphilus_A grossensis_A	s__Peptoniphilus_A faecalis
s__Peptoniphilus_A sp900538655	s__Peptoniphilus_A gorbachii
s__Peptoniphilus_C sp903819165	s__Peptoniphilus_C nemausensis
s__Urinicoccus sp000221565	s__Urinicoccus timonensis
g__UBA6767	g__Proteiniborus
s__UBA6767 sp002376545	s__Proteiniborus sp002376545
s__UBA6767 sp900095305	s__Proteiniborus sp900095305
g__Senegalia	g__Anaeromonas
s__Senegalia massiliensis	s__Anaeromonas massiliensis
s__Senegalia massiliensis_A	s__Anaeromonas massiliensis_A
g__UBA6132	g__Sedimentibacter
s__UBA6132 sp002435835	s__Sedimentibacter sp002435835
g__Clostridium_V	g__Schnuerera
s__Clostridium_V ultunense	s__Schnuerera ultunensis
g__DSM105185	g__Tissierella
s__DSM105185 sp009695605	s__Tissierella pigra
g__Soehngenia_A	g__Soehngenia
s__Soehngenia_A sp002417735	s__Soehngenia longivitae
s__Soehngenia_A sp014360205	s__Soehngenia sp014360205
s__Tissierella sp002266425	s__Tissierella carlieri
g__VENL01	g__Sporosalibacterium
s__VENL01 sp009711605	s__Sporosalibacterium faouarense
g__UMGS1537	g__Egerieisoma
s__UMGS1537 sp900543695	s__Egerieisoma sp900543695
s__UMGS1537 sp900552695	s__Egerieisoma sp900552695
s__UMGS1537 sp900761045	s__Egerieisoma faecipullorum
s__UMGS1883 sp900555935	s__UMGS1883 sp905195005
s__UMGS1883 sp900763305	s__UMGS1883 sp905195005
c__Clostridia_A	c__Clostridia
s__Borkfalkia sp900761665	s__Borkfalkia avicola
s__Borkfalkia sp900761675	s__Borkfalkia excrementigallinarum
g__QALS01	g__Scatosoma
s__QALS01 sp003150575	s__Scatosoma sp003150575
s__QALS01 sp900552625	s__Scatosoma sp900552625
s__QALS01 sp900555925	s__Scatosoma sp900555925
s__QALS01 sp900769545	s__Scatosoma sp900769545
g__UBA11940	g__Coproplasma
s__UBA11940 sp003503945	s__Coproplasma sp003503945
s__UBA11940 sp003979335	s__Coproplasma sp003979335
s__UBA11940 sp013316055	s__Coproplasma sp013316055
s__UBA11940 sp900549005	s__Coproplasma stercorigallinarum
g__UMGS1004	g__Gallimonas
s__UMGS1004 sp003343805	s__Gallimonas intestinavium
s__UMGS1004 sp900547645	s__Gallimonas faecium
s__UMGS1004 sp900548845	s__Gallimonas sp900548845
s__UMGS1004 sp900761685	s__Gallimonas intestinalis
g__UBA5394	g__Pelethousia
s__UBA5394 sp002409725	s__Pelethousia sp002409725
s__UBA5394 sp003150565	s__Pelethousia gallinarum
s__UBA5394 sp900542615	s__Pelethousia sp900542615
g__UMGS1241	g__Aphodomorpha
s__UMGS1241 sp900540495	s__Aphodomorpha sp900540495
s__UMGS1241 sp900549955	s__Aphodomorpha sp900549955
s__UMGS1241 sp900550525	s__Aphodomorpha intestinavium
g__CAG-1435	g__Fimimonas
s__CAG-1435 sp000433775	s__Fimimonas gallinarum
s__CAG-1435 sp003537755	s__Fimimonas sp003537755
s__CAG-1435 sp900769665	s__Fimimonas sp900769665
g__UMGS1707	g__Limihabitans
s__UMGS1707 sp900554285	s__Limihabitans sp900554285
f__CAG-552	f__Pumilibacteraceae
g__UMGS1880	g__Protoclostridium
s__UMGS1880 sp900555875	s__Protoclostridium sp900555875
s__UMGS1880 sp900761765	s__Protoclostridium sp900761765
s__WRAY01 sp009787875	s__WRAY01 sp009787685
g__Firm-11	g__Limiplasma
s__Firm-11 sp001604105	s__Limiplasma sp001604105
s__Firm-11 sp001604115	s__Limiplasma sp001604115
s__Firm-11 sp004556545	s__Limiplasma sp004556545
s__Firm-11 sp009783365	s__Limiplasma sp009783365
s__Firm-11 sp012517815	s__Limiplasma sp012517815
s__Firm-11 sp012523405	s__Limiplasma sp012523405
s__Firm-11 sp012729115	s__Limiplasma sp012729115
s__Firm-11 sp900540045	s__Limiplasma merdipullorum
s__Firm-11 sp900548145	s__Limiplasma sp900548145
s__Firm-11 sp900550955	s__Limiplasma sp900550955
s__Firm-11 sp900553905	s__Limiplasma pullistercoris
g__GCA-900199385	g__RUG740
s__GCA-900199385 sp900176495	s__RUG740 sp900176495
s__GCA-900199385 sp900199385	s__RUG740 sp900199385
s__GCA-900199385 sp900315315	s__RUG740 sp900315315
s__GCA-900199385 sp900315675	s__RUG740 sp900315675
s__GCA-900199385 sp900318145	s__RUG740 sp900318145
s__GCA-900199385 sp900320755	s__RUG740 sp900320755
s__GCA-900199385 sp900322155	s__RUG740 sp900322155
s__GCA-900199385 sp902764875	s__RUG740 sp902764875
s__GCA-900199385 sp902795555	s__RUG740 sp902795555
g__HGM11575	g__Pullichristensenella
s__HGM11575 sp002068815	s__Pullichristensenella sp002068815
s__HGM11575 sp012514855	s__Pullichristensenella sp012514855
s__HGM11575 sp900754775	s__Pullichristensenella excrementipullorum
g__HGM11588	g__Alectryocaccomicrobium
s__HGM11588 sp900754755	s__Alectryocaccomicrobium faecavium
g__JAAYOH01	g__Excrementavichristensenella
s__JAAYOH01 sp012520375	s__Excrementavichristensenella sp012520375
g__OEMS01	g__Onthenecus
s__OEMS01 sp900199405	s__Onthenecus sp900199405
g__SFFH01	g__Ventricola
s__SFFH01 sp002395225	s__Ventricola sp002395225
s__SFFH01 sp004555535	s__Ventricola sp004555535
s__SFFH01 sp004556985	s__Ventricola sp004556985
s__SFFH01 sp004557905	s__Ventricola sp004557905
s__SFFH01 sp900313545	s__Ventricola sp900313545
s__SFFH01 sp900542395	s__Ventricola sp900542395
s__SFFH01 sp900542445	s__Ventricola sp900542445
s__SFFH01 sp900548125	s__Ventricola sp900548125
s__SFFH01 sp902767305	s__Ventricola sp902767305
s__SFFH01 sp902781095	s__Ventricola sp902781095
g__SFFS01	g__Aphodomonas
s__SFFS01 sp004557805	s__Aphodomonas sp004557805
g__UMGS1600	g__Egerieenecus
s__UMGS1600 sp900553295	s__Egerieenecus merdigallinarum
s__UMGS1600 sp900553315	s__Egerieenecus sp900553315
g__UMGS1603	g__Faecivicinus
s__UMGS1603 sp004555155	s__Faecivicinus sp004555155
s__UMGS1603 sp900553265	s__Faecivicinus sp900553265
s__UMGS1603 sp900759005	s__Faecivicinus sp900759005
g__UMGS1633	g__Fimadaptatus
s__UMGS1633 sp900553645	s__Fimadaptatus sp900553645
g__WRGP01	g__Avichristensenella
s__WRGP01 sp009787135	s__Avichristensenella sp009787135
g__UMGS1688	g__Limadaptatus
s__UMGS1688 sp900544575	s__Limadaptatus stercorigallinarum
s__UMGS1688 sp900545885	s__Limadaptatus sp900545885
s__UMGS1688 sp900553825	s__Limadaptatus sp900553825
s__UMGS1688 sp900554085	s__Limadaptatus sp900554085
s__UMGS1688 sp900754695	s__Limadaptatus sp900754695
s__Christensenella sp001678845	s__Christensenella intestinihominis
g__NSJ-63	g__Guopingia
s__NSJ-63 sp014384805	s__Guopingia tenuis
g__UMGS743	g__Scybalosoma
s__UMGS743 sp900545085	s__Scybalosoma faecavium
g__GCA-900066905	g__Luoshenia
s__GCA-900066905 sp900066905	s__Luoshenia tenuis
g__NSJ-53	g__Gehongia
s__NSJ-53 sp014384795	s__Gehongia tenuis
g__UBA11517	g__Caccovivens
s__UBA11517 sp003522085	s__Caccovivens sp003522085
s__UBA11517 sp900551855	s__Caccovivens sp900551855
s__UBA11517 sp900555365	s__Caccovivens sp900555365
s__UBA11517 sp900557645	s__Caccovivens sp900557645
s__UBA11517 sp900753315	s__Caccovivens sp900753315
s__UBA11517 sp900768545	s__Caccovivens sp900768545
s__UBA11517 sp902796285	s__Caccovivens sp902796285
g__UBA4626	g__Onthoplasma
s__UBA4626 sp002406115	s__Onthoplasma sp002406115
g__UBA7102	g__Spyradocola
s__UBA7102 sp002315655	s__Spyradocola sp002315655
s__UBA7102 sp002492415	s__Spyradocola sp002492415
s__UBA7102 sp900760085	s__Spyradocola merdavium
g__CABKMX01	g__Ornithoclostridium
s__CABKMX01 sp902373595	s__Ornithoclostridium faecigallinarum
g__UMGS416	g__Parachristensenella
s__UMGS416 sp900542005	s__Parachristensenella sp900542005
c__Mahellia	c__Clostridia
c__Mahellia_A	c__Clostridia
o__Caldanaerobiales	o__Thermoanaerobacterales
o__UBA3567	o__Koleobacterales
f__Ch38	f__Koleobacteraceae
g__Ch38	g__Koleobacter
s__Ch38 sp013178105	s__Koleobacter methoxysyntrophicus
p__Firmicutes_B	p__Bacillota_B
g__Formamonas	g__Formimonas
s__Formamonas warabiya	s__Formimonas warabiya
g__CEB3	g__Acididesulfobacillus
s__CEB3 sp001029295	s__Acididesulfobacillus sp001029295
s__Desulfosporosinus sp001936615	s__Desulfosporosinus metallidurans
g__Heliobacillus	g__Heliobacterium
s__Heliobacillus mobilis	s__Heliobacterium mobile
g__Heliobacterium_A	g__Heliomicrobium
s__Heliobacterium_A gestii	s__Heliomicrobium gestii
s__Heliobacterium_A modesticaldum	s__Heliomicrobium modesticaldum
s__Heliobacterium_A undosum	s__Heliomicrobium undosum
g__Desulfofarcimen_A	g__Desulfolucanica
s__Desulfofarcimen_A intricatum	s__Desulfolucanica intricata
g__Desulfohalotomaculum	g__Desulfofalx
s__Desulfohalotomaculum alkaliphilum	s__Desulfofalx alkaliphila
g__MES5	g__Desulforadius
s__MES5 sp009711615	s__Desulforadius sp009711615
f__Desulfotomaculaceae_A	f__Desulfallaceae
g__Desulfallas_A	g__Desulfallas
s__Desulfallas_A alcoholivorax	s__Desulfallas alcoholivorax
s__Desulfallas_A arcticus	s__Desulfallas arcticus
g__Desulfallas_B	g__Desulfoscipio
s__Desulfallas_B geothermicus	s__Desulfoscipio geothermicus
s__UBA4053 sp002382125	s__UBA4053 sp003457075
g__MVQK01	g__Pelotomaculum_D
s__MVQK01 sp002067395	s__Pelotomaculum_D terephthalicicum
s__MVQK01 sp002067515	s__Pelotomaculum_D sp002067515
g__UBA4789	g__Syntrophopropionicum
s__UBA4789 sp002402945	s__Syntrophopropionicum sp002402945
s__UBA4789 sp012518875	s__Syntrophopropionicum sp012518875
s__UBA4789 sp013201395	s__Syntrophopropionicum ammoniitolerans
f__DUOV01	f__Zhaonellaceae
s__SpSt-1133 mulderi_A	s__SpSt-1133 sp011375465
g__Thermoanaerosceptrum	g__Thermanaerosceptrum
s__Thermoanaerosceptrum fracticalcis	s__Thermanaerosceptrum fracticalcis
p__Firmicutes_C	p__DUMD01
s__Phascolarctobacterium sp000436095	s__CAG-266 sp000436095
s__Phascolarctobacterium sp003150755	s__CAG-266 sp003150755
s__Phascolarctobacterium sp900554395	s__CAG-266 sp900554395
s__Phascolarctobacterium_A sp900541915	s__URXU01 sp900541915
s__Phascolarctobacterium_A sp900545025	s__URXU01 sp900545025
s__Phascolarctobacterium_A sp900552005	s__URXU01 sp900552005
s__Anaerovibrio sp004553105	s__Anaerovibrio slackiae
s__Centipeda sp000318175	s__Centipeda timonae
s__Megamonas sp900554895	s__Megamonas gallistercoris
s__Mitsuokella sp000469545	s__AWVT01 sp000469545
s__Mitsuokella sp900770825	s__Mitsuokella sp003458855
g__RUG643	g__RUG12372
s__RUG643 sp900321035	s__RUG12372 sp900321035
s__RUG643 sp902777615	s__RUG12372 sp902777615
s__RUG643 sp902778455	s__RUG12372 sp902778455
s__RUG643 sp902782705	s__RUG12372 sp902782705
s__Selenomonas_A sp004552655	s__Selenomonas_A montiformis
g__UBA7018	g__Quinella
s__UBA7018 sp002448305	s__Quinella sp002448305
o__Selenomonadales_A	o__DSM-1736
s__Dendrosporobacter sp003990955	s__BIFV01 sp003990955
g__Sporolituus	g__Thermosinus
s__Sporolituus thermophilus	s__Thermosinus thermophilus
s__Allisonella pneumosintes	s__Allisonella pneumosinta
s__Dialister sp900555245	s__Dialister invisus
g__Dialister_B	g__Dialister
s__Dialister_B micraerophilus	s__Dialister micraerophilus
g__28L	g__Megasphaera
s__28L sp000177555	s__Megasphaera lornae
s__28L sp002892445	s__Megasphaera hutchinsoni
s__Anaeroglobus sp900240295	s__Anaeroglobus vaginalis
s__Veillonella dispar_A	s__Veillonella nakazawae
p__Firmicutes_D	p__Bacillota_D
s__SKMY01 sp007126455	s__SKMY01 sp003561325
s__PWVN01 sp003567935	s__PWVN01 sp007136165
g__SKNC01	g__Contubernalis
s__SKNC01 sp003560915	s__Contubernalis sp003560915
s__SKNC01 sp007120745	s__Contubernalis sp007120745
g__LB2	g__Alkalicella
s__LB2 sp014467015	s__Alkalicella caledoniensis
p__Firmicutes_E	p__Bacillota_E
o__D8A-2	o__DTU015
f__D2	f__DTU015
o__UBA9673	o__UBA995
g__UBA3575	g__Acetocimmeria
s__UBA3575 sp002375925	s__Acetocimmeria pyornia
p__Firmicutes_F	p__Bacillota_F
g__Halocella	g__Iocasia
s__Halocella sp003953885	s__Iocasia fonsfrigidae
p__Firmicutes_G	p__Bacillota_G
s__UBA5278 sp002409105	s__UBA5278 sp002427165
g__UBA11021	g__Capillibacterium
s__UBA11021 sp003511465	s__Capillibacterium sp003511465
s__UBA11021 sp012512605	s__Capillibacterium sp012512605
s__UBA11021 sp012521315	s__Capillibacterium sp012521315
s__UBA11021 sp012727425	s__Capillibacterium sp012727425
s__UBA11021 sp012735135	s__Capillibacterium sp012735135
s__UBA11021 sp012837705	s__Capillibacterium sp012837705
s__UBA11021 sp012837715	s__Capillibacterium sp012837715
s__UBA11021 sp013664685	s__Capillibacterium thermochitinicola
p__Firmicutes_H	p__Bacillota_H
s__Sneathia amnii	s__Sneathia vaginalis
s__Streptobacillus sp009733925	s__Streptobacillus canis
s__Gemmatimonas sp013004105	s__Gemmatimonas groenlandica
s__Gemmatirosa kalamazoonesis	s__Gemmatirosa kalamazoonensis
s__PXFI01 sp007121435	s__PXFI01 sp003564295
s__T3Sed10-66 sp003556585	s__T3Sed10-66 sp003564555
p__Gemmatimonadota_A	p__GCA-2686955
f__DUZN01	f__SLHB01
s__DUZN01 sp013349535	s__DUZN01 sp013349485
f__JAACEL01	f__SLHB01
s__4484-219 sp003645965	s__4484-219 sp002085035
f__JAADGR01	f__Zgenome-0027
s__LZORAL124-64-63 sp002790835	s__JAHJTW01 sp002790835
s__LZORAL124-64-63 sp003646045	s__JAAEQC01 sp003646045
c__Latescibacteria_A	c__4484-107
f__TCS52	f__46-47
s__Marinisoma sp000494305	s__Marinisoma atlanticum
s__Marinisoma sp902636035	s__Marinisoma sp002710515
s__TMED108 sp002702225	s__TMED108 sp002724475
s__UBA2126 sp003503735	s__UBA2126 sp002730315
s__UBA2126 sp012964125	s__UBA2126 sp002713385
s__GCA-002718655 sp002167345	s__CACEUX01 sp002167345
s__GCA-002718655 sp002698235	s__NZWG01 sp002698235
s__GCA-002718655 sp902562835	s__CACEUX01 sp902562835
g__GCA-002718585	g__GCA-2717625
s__GCA-002718585 sp002707765	s__GCA-2717625 sp002707765
s__GCA-002718585 sp002718585	s__GCA-2717625 sp002718585
f__JABMOW01	f__JACNLC01
s__Methylomirabilis oxyfera_A	s__Methylomirabilis lanthanidiphila
f__GWA2-73-35	f__CSP1-6
g__AR44	g__AR9
s__AR44 sp003221455	s__AR9 sp003221455
s__Lujinxingia sp007997015	s__Lujinxingia vulgaris
g__V1718	g__Microvenator
s__V1718 sp007993755	s__Microvenator marinus
s__Corallococcus sp003600865	s__Citreicoccus inhibens
s__Corallococcus sp003612115	s__Corallococcus praedator
s__Corallococcus sp009909145	s__Corallococcus silvisoli
s__Myxococcus sp010894405	s__Myxococcus caerfyrddinensis
s__Myxococcus sp010894435	s__Myxococcus trucidator
s__Myxococcus sp010894455	s__Myxococcus eversor
s__Myxococcus sp013336725	s__Myxococcus llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogochensis
s__Myxococcus sp013372585	s__Myxococcus vastator
g__Vitiosangium	g__Archangium
s__Vitiosangium sp003044305	s__Archangium sp003044305
s__Polyangium sp005144635	s__Polyangium aurulentum
g__GCA-2707085	g__UBA796
s__GCA-2707085 sp002707085	s__UBA796 sp002707085
g__1-14-0-20-45-15	g__Nitrohelix
s__1-14-0-20-45-15 sp002787235	s__Nitrohelix sp002787235
g__SCGCAAA288-L16	g__Nitromaritima
s__SCGCAAA288-L16 sp000372225	s__Nitromaritima sp000372225
s__SCGCAAA288-L16 sp002731985	s__Nitromaritima sp002731985
s__SCGCAAA288-L16 sp003451695	s__Nitromaritima sp003451695
p__Nitrospinota_A	p__UBA8248
s__Nitrospira_C japonica	s__Nitrospira_C japonica_A
s__Nitrospira_D sp014534095	s__JACVSD01 sp014534095
s__Nitrospira_F sp012030925	s__Nitrospira_F sp902500745
s__Palsa-1315 sp013141215	s__Palsa-1315 sp005116815
f__SCUR01	f__Manganitrophaceae
g__HCH-1	g__Magnetominusculus
s__HCH-1 sp001541255	s__Magnetominusculus xianensis
s__HCH-1 sp002753305	s__Magnetominusculus sp002753305
s__UBA2194 sp013388435	s__DYFC01 sp013388435
f__UBA9935	f__Dissulfurispiraceae
f__JdFR-81	f__UBA6902
g__SURF-11	g__SURF-23
s__SURF-11 sp003599505	s__SURF-23 sp003599505
g__SURF-45	g__SURF-23
s__SURF-45 sp003599275	s__SURF-23 sp003599275
o__1-14-0-20-42-13	o__Ghiorseimicrobiales
